Arizona Cardinals,Carson Palmer,white
Arizona Cardinals,Drew Stanton,white
Arizona Cardinals,Ryan Lindley,white
Atlanta Falcons,Matt Ryan,white
Baltimore Ravens,Joe Flacco,white
Buffalo Bills,EJ Manuel,black
Buffalo Bills,Kyle Orton,white
Carolina Panthers,Cam Newton,black
Carolina Panthers,Derek Anderson,black
Chicago Bears,Jay Cutler,white
Chicago Bears,Jimmy Clausen,white
Cincinnati Bengals,Andy Dalton,white
Cleveland Browns,Brian Hoyer,white
Cleveland Browns,Johnny Manziel,white
Cleveland Browns,Connor Shaw,white
Dallas Cowboys,Tony Romo,hispanic
Dallas Cowboys,Brandon Weeden,white
Denver Broncos,Peyton Manning,white
Detroit Lions,Matthew Stafford,white
Green Bay Packers,Aaron Rodgers,white
Houston Texans,Ryan Fitzpatrick,white
Houston Texans,Ryan Mallett,white
Houston Texans,Case Keenum,white
Indianapolis Colts,Andrew Luck,white
Jacksonville Jaguars,Chad Henne,white
Jacksonville Jaguars,Blake Bortles,white
Kansas City Chiefs,Alex Smith,white
Kansas City Chiefs,Chase Daniel,white
Miami Dolphins,Ryan Tannehill,white
Minnesota Vikings,Teddy Bridgewater,black
Minnesota Vikings,Matt Cassel,black
Minnesota Vikings,Christian Ponder,white
New England Patriots,Tom Brady,white
New Orleans Saints,Drew Brees,white
New York Giants,Eli Manning,white
New York Jets,Geno Smith,black
New York Jets,Michael Vick,black
Oakland Raiders,Derek Carr,white
Philadelphia Eagles,Nick Foles,white
Philadelphia Eagles,Mark Sanchez,hispanic
Pittsburgh Steelers,Ben Roethlisberger,white
San Diego Chargers,Philip Rivers,white
San Francisco 49ers,Colin Kaepernick,other
Seattle Seahawks,Russell Wilson,other
St. Louis Rams,Austin Davis,white
St. Louis Rams,Shaun Hill,white
Tampa Bay Buccaneers,Josh McCown,white
Tampa Bay Buccaneers,Mike Glennon,white
Tennessee Titans,Jake Locker,white
Tennessee Titans,Charlie Whitehurst,white
Tennessee Titans,Zach Mettenberger,white
Washington Redskins,Robert Griffin III,black
Washington Redskins,Kirk Cousins,white
Washington Redskins,Colt McCoy,white
